2025-11-24 14:48:26.464 [tick=4217656] [pid=5000] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=5000 | fire sent
2025-11-24 14:48:26.722 [tick=4217906] [pid=17348] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:26.722 [tick=4217906] [pid=17348] [INFO] [WorkerHost] pid=17348 | start
2025-11-24 14:48:26.991 [tick=4218171] [pid=17348] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=17348 | fire start
2025-11-24 14:48:26.997 [tick=4218187] [pid=17348] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=17348 | fire sent
2025-11-24 14:48:27.219 [tick=4218406] [pid=12360] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:27.220 [tick=4218406] [pid=12360] [INFO] [WorkerHost] pid=12360 | start
2025-11-24 14:48:27.492 [tick=4218671] [pid=12360] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=12360 | fire start
2025-11-24 14:48:27.498 [tick=4218687] [pid=12360] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=12360 | fire sent
2025-11-24 14:48:27.719 [tick=4218906] [pid=8556] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:27.720 [tick=4218906] [pid=8556] [INFO] [WorkerHost] pid=8556 | start
2025-11-24 14:48:27.987 [tick=4219171] [pid=8556] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=8556 | fire start
2025-11-24 14:48:27.996 [tick=4219187] [pid=8556] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=8556 | fire sent
2025-11-24 14:48:28.224 [tick=4219406] [pid=3292] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:28.224 [tick=4219406] [pid=3292] [INFO] [WorkerHost] pid=3292 | start
